Date,Symbol,Order,Shares
2022-01-10,NVDA,BUY,1500
2022-02-15,NVDA,SELL,1500
2022-03-05,INTC,BUY,1000
2022-04-20,INTC,SELL,1000
2022-06-15,NVDA,BUY,1800
2022-07-25,NVDA,SELL,1800
2022-09-10,INTC,BUY,900
2022-10-15,INTC,SELL,900
2022-11-20,NVDA,BUY,2000
2022-12-25,NVDA,SELL,2000
2023-01-15,INTC,BUY,1300
2023-02-25,INTC,SELL,1300
2023-04-10,NVDA,BUY,1700
2023-05-22,NVDA,SELL,1700
2023-07-01,INTC,BUY,1500
2023-08-15,INTC,SELL,1500
2023-09-25,NVDA,BUY,1400
2023-11-10,NVDA,SELL,1400
2024-01-20,INTC,BUY,1600
2024-03-10,INTC,SELL,1600
2024-06-05,NVDA,BUY,1200
2024-07-30,NVDA,SELL,1200
2024-09-15,INTC,BUY,1700
2024-10-08,INTC,SELL,1700
